step_id,requirement_id,candidate_id,step_order,type,focus,includes,text,notes,fallback_if_missing
1,2,36,0,semi-static,,"[""candidate_info.full_name""]","Hello [candidate_info.full_name], it's a pleasure to meet you. I hope you're having a great day! Thanks for being here today and for your interest in our company. I'm excited to learn more about your background.",,
2,2,36,1,static,,,"I'll be conducting your screening interview today. It will take around 15–20 minutes. We'll cover your experience, skills, expectations, and give you a quick overview of the role. Feel free to ask questions at any point — I’ll answer them if they’re relevant or return us to the main path if needed.",,
3,2,36,2,semi-static,,"[""context_role_info.project_description"",""context_role_info.ML_stack""]","Let me give you a bit of context. In this role, you'd be working on [context_role_info.project_description], using technologies such as [context_role_info.ML_stack]. You’d be collaborating with engineers to optimize recommendation models and deliver scalable, production-ready systems.",,"Use [job_offer_info.role_mission_summary] if missing"
4,2,36,3,static,,,"This is a structured screening interview designed to give every candidate a fair and consistent experience. There are 12 predefined questions. Please answer honestly and clearly — there's no need to be perfect. If at any point you’re unsure, feel free to ask. You can also ask up to 3 questions of your own.",,
5,2,36,4,static,,,"Before we begin, I’d love to hear more about you. Please introduce yourself. You can take around 50 seconds and include your current role, experience, and what interests you about this opportunity.",,
6,2,36,5,dynamic,recent_ml_project,"[""candidate_info.last_job_description""]","Can you tell me about a recent machine learning project you've worked on? What was your role, and what were the outcomes?",,
7,2,36,6,dynamic,technical_stack_match,"[""job_offer_info.required_tools"",""candidate_info.ml_frameworks_used""]","Which tools or ML frameworks are you most comfortable with? Do you have experience with technologies like [job_offer_info.required_tools]?",,
8,2,36,7,dynamic,cloud_experience,"[""candidate_info.cloud_experience""]","Have you worked with cloud platforms like AWS, GCP, or Azure? What kinds of tasks did you use them for?",,
9,2,36,8,dynamic,big_data_handling,"[""candidate_info.project_highlights""]","Tell me about a time you worked with large-scale datasets. How did you manage the volume, and what tools did you use?",,
10,2,36,9,dynamic,deployment_experience,"[""candidate_info.devops_tools""]","Have you ever deployed an ML model into production? What did the process look like, and did you face any challenges?",,
11,2,36,10,dynamic,teamwork_experience,,"How do you usually collaborate with cross-functional teams like data engineers or backend developers?",,
12,2,36,11,dynamic,problem_solving,,"Can you describe a technical challenge you faced recently and how you solved it?",,
13,2,36,12,dynamic,learning_ability,,"How do you stay up to date with new ML tools and techniques? Can you name something new you’ve learned recently?",,
14,2,36,13,dynamic,communication_skills,,"In your opinion, what makes technical communication effective in a team? Can you give an example from your experience?",,
15,2,36,14,dynamic,motivation_for_this_role,"[""context_role_info.project_description""]","Why are you interested in this specific role? What attracts you about [context_role_info.project_description]?",,
16,2,36,15,dynamic,availability,"[""candidate_info.availability_date""]","When would you be available to start if selected?",,
17,2,36,16,dynamic,salary_alignment,"[""candidate_info.salary_expectations"",""context_role_info.salary_range""]","The expected salary range for this role is [context_role_info.salary_range]. Does this match your expectations?",,
18,2,36,17,relational,,,"You’re welcome to ask up to 3 questions during this interview. I’ll do my best to answer them quickly and then we’ll return to the structured flow. Is there anything you’d like to ask at this moment?",,
19,2,36,18,static,,"[""candidate_info.full_name"",""job_offer_info.job_title"",""company_info.company_name""]","Thank you for your time, [candidate_info.full_name]. It was a pleasure learning about you. This concludes the screening for the [job_offer_info.job_title] position at [company_info.company_name]. You’ll hear from us in the next few days with information about the next step. Have a great rest of your day!",,
