step_id,requirement_id,candidate_id,step_order,type,focus,includes,text,notes,fallback_if_missing,step_name
74,2,2,0,semi-static,,"[""candidate_info.full_name""]","""Hello Franco Ccapa, it's a pleasure to meet you. How's going on?""",,,"Greeting and Welcome"
75,2,2,1,static,,,"""I'm glad you're here today, and thanks for your interest in our company. I'm excited to learn more about your background. I'll be conducting your screening interview today. It will take around 15 minutes. We'll cover your experience, skills, expectations, and give you a quick overview of the role. Feel free to ask questions at any point. Are you ok with that?""",,,"Greeting and Welcome"
76,2,2,2,semi-static,,"[""context_role_info.project_description"",""context_role_info.ML_stack""]","""Perfect! Let me give you a bit of context. In this role, you'd be working on developing a personalized product recommendation system for our e-commerce platform, using technologies such as TensorFlow, PyTorch, and Scikit-learn. You'd be collaborating with engineers to optimize recommendation models and deliver scalable, production-ready systems. Do you have any question so far?""",,"Use [job_offer_info.role_mission_summary] if missing","Role Context and Project Overview"
77,2,2,3,static,,,"""ok, continuing with the interview I have 10 predefined questions for you. Please answer honestly and clearly — there's no need to be perfect. Just trust on you, you can do it. Are you ready, Franco Ccapa?""",,,"Screening Process Explanation"
78,2,2,4,static,,,"""Perfect! I'd love to hear more about you in a short speech. Please introduce yourself. You can take around 1 minute and include your current role, experience, and what interests you about this opportunity at TechCorp Solutions.""",,,"Candidate Self-Introduction Request"
79,2,2,5,semi-static,recent_ml_project,"[""candidate_info.last_job_description""]","""Can you tell me about a recent machine learning project you've worked on? What was your role, and what were the outcomes?""",,,"Recent ML Project Experience"
80,2,2,6,semi-static,technical_stack_match,"[""job_offer_info.required_tools"",""candidate_info.ml_frameworks_used""]","""Which tools or ML frameworks are you most comfortable with? Do you have experience with technologies like TensorFlow, PyTorch, and Scikit-learn?""",,,"Technical Stack and Tools"
81,2,2,7,semi-static,cloud_experience,"[""candidate_info.cloud_experience""]","""Have you worked with cloud platforms like AWS, GCP, or Azure? What kinds of tasks did you use them for?""",,,"Cloud Platform Experience"
82,2,2,8,semi-static,big_data_handling,"[""candidate_info.project_highlights""]","""Tell me about a time you worked with large-scale datasets. How did you manage the volume, and what tools did you use?""",,,"Big Data Handling Experience"
83,2,2,9,semi-static,deployment_experience,"[""candidate_info.devops_tools""]","""Have you ever deployed an ML model into production? What did the process look like, and did you face any challenges?""",,,"ML Model Deployment Experience"
84,2,2,10,semi-static,teamwork_experience,,"""How do you usually collaborate with cross-functional teams like data engineers or backend developers?""",,,"Cross-Functional Team Collaboration"
85,2,2,11,semi-static,motivation_for_this_role,"[""context_role_info.project_description""]","""Why are you interested in this specific role? What attracts you about Developing and deploying machine learning models to improve the accuracy of customer segmentation and predictive analytics for our clients?""",,,"Role Motivation and Interest"
86,2,2,12,semi-static,availability,"[""candidate_info.availability_date""]","""When would you be available to start if selected?""",,,"Availability and Start Date"
87,2,2,13,semi-static,salary_alignment,"[""candidate_info.salary_expectations"",""context_role_info.salary_range""]","""The expected salary range for this role is $120,000 - $180,000. Does this match your expectations?""",,,"Salary Expectations Alignment"
88,2,2,14,relational,,,"""We're finishing the interview. Is there anything you'd like to ask at this moment?""",,,"Candidate Questions Opportunity"
89,2,2,15,static,,"[""candidate_info.full_name"",""job_offer_info.job_title"",""company_info.company_name""]","""Thank you for your time, Franco Ccapa. It was a pleasure learning about you. This concludes the screening for the ML Engineer position at TechCorp Solutions. You'll hear from us in the next few days with information about the next step. Have a great rest of your day!""",,,"Interview Conclusion and Next Steps"
